ntraial move_ratio     potn
57456     0.4351  -3.920555

57564     0.5740  -3.823332

57672     0.4166  -3.789297

57780     0.5092  -3.779260

57888     0.5462  -3.860578

57996     0.4814  -3.910300

58104     0.4166  -3.871000

58212     0.5185  -3.884332

58320     0.4907  -3.819378

58428     0.5277  -3.854495

58536     0.6018  -3.940656

58644     0.5185  -3.898816

58752     0.5555  -3.846304

58860     0.5740  -3.872036

58968     0.4814  -3.897740

59076     0.5092  -3.914270

59184     0.4814  -3.853298

59292     0.4259  -3.767936

59400        0.5  -3.844556

59508     0.4907  -3.902558

59616     0.5833  -3.877475

59724     0.5648  -3.798862

59832     0.4259  -3.795749

59940     0.4537  -3.848627

60048     0.4074  -3.890118

60156     0.5277  -3.907774

60264     0.3981  -3.840062

60372     0.5925  -3.876838

60480     0.4814  -3.843682

60588     0.5370  -3.803219

60696     0.5277  -3.858934

60804     0.4722  -3.854137

60912     0.3981  -3.824719

61020     0.5092  -3.691733

61128     0.5277  -3.673374

61236     0.5277  -3.571096

61344     0.5555  -3.725868

61452     0.4907  -3.705020

61560     0.4814  -3.725876

61668     0.5185  -3.811369

61776     0.4722  -3.831904

61884     0.4907  -3.866112

61992     0.5648  -3.817738

62100     0.4166  -3.839110

62208     0.4814  -3.784013

62316     0.5277  -3.839486

62424     0.4814  -3.925084

62532     0.5555  -3.836812

62640     0.4907  -3.885465

62748     0.5185  -3.812149

62856     0.5370  -3.846759

62964     0.4629  -3.888112

63072     0.4907  -3.961010

63180     0.5092  -3.915466

63288     0.4814  -3.832419

63396     0.4814  -3.825164

63504     0.5092  -3.784861

63612     0.4537  -3.817616

63720     0.4166  -3.848718

63828     0.5740  -3.889728

63936     0.3888  -3.866576

64044     0.4907  -3.868341

64152     0.4537  -3.901247

64260     0.4629  -3.830154

64368     0.4259  -3.756635

64476     0.4629  -3.813022

64584     0.5925  -3.797718

64692     0.5648  -3.778868

64800     0.4444  -3.664184

64908     0.5092  -3.749847

65016     0.4444  -3.727784

65124     0.4814  -3.827953

65232     0.3888  -3.768714

65340     0.5462  -3.738504

65448     0.4722  -3.843021

65556     0.5648  -3.894828

65664     0.4907  -3.891442

65772     0.4537  -3.883723

65880     0.4537  -3.796615

65988     0.4629  -3.765026

66096     0.5555  -3.869850

66204     0.4537  -3.888966

